Id,Nom,Categorie,Prix
1,Pomme,Fruit,1.20
2,Banane,Fruit,0.80
3,Carotte,Legume,0.50
4,Tomate,Legume,1.50
5,Cerise,Fruit,3.00
6,Poireau,Legume,0.90
7,Orange,Fruit,1.10
8,Courgette,Legume,1.30
9,Fraise,Fruit,4.50
10,Aubergine,Legume,1.80
11,Poire,Fruit,1.40
12,Brocoli,Legume,2.10
13,Kiwi,Fruit,0.60
14,Concombre,Legume,1.00
15,Raisin,Fruit,2.50
16,Oignon,Legume,0.70
17,Peche,Fruit,1.70
18,Poivron,Legume,1.60
19,Abricot,Fruit,2.20
20,Chou,Legume,1.10
21,Citron,Fruit,0.90
22,Radis,Legume,1.20
23,Prune,Fruit,2.10
24,Epinard,Legume,1.80
25,Figue,Fruit,3.50
26,Navet,Legume,1.10
27,Myrtille,Fruit,4.00
28,Artichaut,Legume,2.50
29,Framboise,Fruit,4.80
30,Celeri,Legume,1.40
31,Clementine,Fruit,1.50
32,Fenouil,Legume,1.70
33,Pamplemousse,Fruit,1.60
34,Asperge,Legume,3.20
35,Nectarine,Fruit,2.40
36,Betterave,Legume,0.90
37,Grenade,Fruit,2.80
38,Haricot,Legume,1.60
39,Melon,Fruit,2.50
40,Blette,Legume,1.50
41,Pasteque,Fruit,4.00
42,Potiron,Legume,2.00
43,Mangue,Fruit,3.00
44,Endive,Legume,1.30
45,Ananas,Fruit,2.70
