Id,Nom,Categorie,Prix
1,Pomme,Fruit,1.20
2,Banane,Fruit,0.80
5,Cerise,Fruit,3.00
7,Orange,Fruit,1.10
9,Fraise,Fruit,4.50
11,Poire,Fruit,1.40
13,Kiwi,Fruit,0.60
15,Raisin,Fruit,2.50
17,Peche,Fruit,1.70
19,Abricot,Fruit,2.20
21,Citron,Fruit,0.90
23,Prune,Fruit,2.10
25,Figue,Fruit,3.50
27,Myrtille,Fruit,4.00
29,Framboise,Fruit,4.80
31,Clementine,Fruit,1.50
33,Pamplemousse,Fruit,1.60
35,Nectarine,Fruit,2.40
37,Grenade,Fruit,2.80
39,Melon,Fruit,2.50
41,Pasteque,Fruit,4.00
43,Mangue,Fruit,3.00
45,Ananas,Fruit,2.70
